sex	item_1	item_2	item_3	item_4	item_5	item_6
1	1.46325540225602	1.73958859689915	1.38429235844922	1.56840756287611	1.45745155543622	1.62825966667469
1	1.68935753560997	1.78925633900994	1.77155676191054	1.69653261928503	1.39599713658128	1.8422941426021
0	1.30073647275824	1.49245455694828	1.34729362377016	1.17834725668696	1.78490268176484	1.2211248631435
0	1.58841854521003	1.45954482285948	1.30073647275824	1.27815220250019	1.14549587456696	1.44621285133113
0	1.18295343710186	.914288729203482	.997686370078149	1.35789488659819	.875051983857558	1.23285176387631
1	1.09058011697085	1.07431959609907	.834212620838548	1.24242399070019	1.82712661306535	.770108221696074
0	2.02485335139543	2.40369659436246	1.78355927266272	1.82196531128512	1.57691472072854	1.77833644889591
1	1.75647765508342	2.0218124288432	1.92963557656256	1.90969064205973	1.2380843339547	1.41585316336144
1	1.90389696916491	1.35995038578029	1.2828764019214	.907855253053053	1.23547147138531	1.41366630791574
0	1.06298511102496	1.40216771027618	1.11939482785064	1.37244895429784	1.26722925396095	1.08010881710355
1	1.44078254640396	1.29198368164865	1.29417907221208	.784814369085769	1.91205785725009	1.46695226413735
0	2.072291037651	1.30291275218084	1.47407627450342	2.37052407600224	1.28093384546206	1.97519152030604
0	1.88828103621868	1.21194097397511	.901786045671273	1.22583213867883	1.02639995455419	1.36583651921749
0	2.18818383268407	1.50851199384414	1.15530763234465	1.29170891863002	1.08282160276179	1.90046438613627
1	1.46510554154418	1.26976054486394	1.37826218942263	.988425329633354	1.19755223652301	1.14517775781543
1	1.4233492690709	1.47247205736094	1.54479271894057	1.66996841217413	1.36583651921749	1.66222009787307
0	1.73413035639142	1.40585186033542	1.37396871142925	1.33289358439278	1.5551928975817	1.87610061766181
0	1.08518926833597	1.14039382268306	1.07158361628019	.76964515153267	1.02639995455419	.508623200210791
1	1.22817749302275	1.23051735954805	1.95826211982812	2.42648272965028	1.22847027592632	1.65460246438847
0	2.04381436403668	1.86485502429861	1.54820060296291	1.37599146812399	1.53277282749862	1.28065602909689
1	1.71541823597133	1.92512418129548	1.80368804009333	1.3244189574018	2.40802560545204	1.28536844252993
0	1.65460246438847	2.25171276262029	2.08641715541626	1.37599146812399	.905027539595444	2.14053664103965
1	1.15025552181995	1.00613143587394	1.2629961447754	1.13783300182139	1.07704811075227	1.26722925396095
0	1.66996841217413	1.5849402808337	.914689450507181	.905027539595444	1.26751082512992	.802898044519065
1	1.48160454092422	1.46879558263163	1.90136097914314	2.24992244041074	1.95741514066964	2.17736194823997
0	1.5016299597998	1.18509574855625	1.16315080980568	1.5535022801038	1.04907184310797	1.14294810248816
